tmin,tmax,nbins,model,tau,etau,dev_over_ndf,rms_rD,nll
1.40000000,12.00000000,400,ExpBkg,2.10172180,0.05540315,1.31076881,1.13933851,260.18760777
1.40000000,15.00000000,150,ExpBkg,2.09580155,0.04716007,1.13527359,1.05440084,83.44260822
1.40000000,15.00000000,200,ExpBkg,2.09576468,0.04715054,1.24655662,1.10755294,122.78582760
1.40000000,15.00000000,250,ExpBkg,2.09643712,0.04717038,1.14296083,1.06205076,141.15566169
1.40000000,15.00000000,300,ExpBkg,2.09626494,0.04717184,1.14273998,1.06284599,169.69688596
1.40000000,15.00000000,400,ExpBkg,2.09594305,0.04716187,1.16705963,1.07526313,231.66133584
1.40000000,18.00000000,150,ExpBkg,2.08398729,0.04313054,1.19797194,1.08317975,88.05093740
1.40000000,18.00000000,200,ExpBkg,2.08417082,0.04311108,1.06385417,1.02330234,104.78963610
1.40000000,18.00000000,250,ExpBkg,2.08314462,0.04309727,1.22057741,1.09753773,150.74130885
1.40000000,18.00000000,300,ExpBkg,2.08275865,0.04309843,1.05552793,1.02167988,156.74589901
1.40000000,18.00000000,400,ExpBkg,2.08392375,0.04311314,1.14160232,1.06355260,226.60805936
1.40000000,20.00000000,150,ExpBkg,2.12409863,0.04297624,1.61901954,1.25898996,118.99793588
1.40000000,20.00000000,200,ExpBkg,2.12407743,0.04297677,1.35174852,1.15324731,133.14722724
1.40000000,20.00000000,250,ExpBkg,2.12549629,0.04299371,1.28739852,1.12708455,158.99371727
1.40000000,20.00000000,300,ExpBkg,2.12500049,0.04298802,1.37770403,1.16695621,204.58904957
1.40000000,20.00000000,400,ExpBkg,2.12374019,0.04297291,1.27071312,1.12194645,252.23655436
1.60000000,12.00000000,150,ExpBkg,2.08246953,0.05921160,1.06831698,1.02286222,78.52129761
1.60000000,12.00000000,200,ExpBkg,2.08135992,0.05916985,1.14526486,1.06155282,112.80858844
1.60000000,12.00000000,250,ExpBkg,2.08312920,0.05924064,1.18242607,1.08014511,146.02961940
1.60000000,12.00000000,300,ExpBkg,2.08312607,0.05925033,1.17748634,1.07885144,174.85672131
1.60000000,12.00000000,400,ExpBkg,2.08218423,0.05923832,1.26782536,1.12050572,251.66333438
1.60000000,15.00000000,150,ExpBkg,2.08119527,0.05033472,1.19032196,1.07966352,87.48866450
1.60000000,15.00000000,200,ExpBkg,2.08023911,0.05029289,1.13123654,1.05507578,111.42679924
1.60000000,15.00000000,250,ExpBkg,2.08012733,0.05028641,1.23643853,1.10456481,152.70015925
1.60000000,15.00000000,300,ExpBkg,2.08103823,0.05030535,1.13422082,1.05891757,168.43179175
1.60000000,15.00000000,400,ExpBkg,2.08126190,0.05030606,1.19519056,1.08815588,237.24532661
1.60000000,18.00000000,150,ExpBkg,2.07107574,0.04591994,1.06255036,1.02014119,78.09745238
1.60000000,18.00000000,200,ExpBkg,2.07032910,0.04591548,1.12595259,1.05266978,110.90632976
1.60000000,18.00000000,250,ExpBkg,2.06989572,0.04590934,1.14158308,1.06148863,140.98551071
1.60000000,18.00000000,300,ExpBkg,2.06941563,0.04589251,1.14294349,1.06306199,169.72710768
1.60000000,18.00000000,400,ExpBkg,2.06957928,0.04589891,1.12414088,1.05534899,223.14196503
1.60000000,20.00000000,150,ExpBkg,2.11329405,0.04579733,1.34325970,1.14685086,98.72958741
1.60000000,20.00000000,200,ExpBkg,2.11185470,0.04579018,1.35563255,1.15489861,133.52980563
1.60000000,20.00000000,250,ExpBkg,2.11257976,0.04580793,1.32035359,1.14140997,163.06366839
1.60000000,20.00000000,300,ExpBkg,2.11309793,0.04580879,1.29700332,1.13230067,192.60499216
1.60000000,20.00000000,400,ExpBkg,2.11249136,0.04580438,1.30840250,1.13843001,259.71789574
